name,lat,lon
,14.7075848,-17.4526709
Place de l’Indépendance,14.6695341,-17.4320553
Parc forestier et zoologique de Hann,14.7264925,-17.4333889
Place de l'Obélisque,14.69438,-17.4485027
Jardin Zone A,14.7025101,-17.4537287
,14.7124496,-17.4636963
Jardin public Fann Hock,14.679676,-17.4635364
Place de l'Europe,14.6702333,-17.3997757
Green Park,14.7084003,-17.4845484
Ebbet's Field (U.S. Embassy),14.7026614,-17.4794631
,14.7122493,-17.4639362
,14.7141957,-17.4550365
,14.7354335,-17.4238283
,14.7404611,-17.438726
,14.7477784,-17.4903962
Parc Ilot Y Hann Maristes 2,14.740657,-17.433884
,14.7381711,-17.4697673
,14.6848479,-17.443211
,14.6930236,-17.4344321
Direction des eaux et fôrets,14.7309772,-17.4325113
Direction des eaux et fôrets,14.7307908,-17.4324165
Direction des eaux et fôrets,14.7311081,-17.4323515
Direction des eaux et fôrets,14.7310227,-17.4326814
Jardin de la Cité Mixta,14.7479202,-17.4557021
,14.7351886,-17.4637258
Jardin Public Liberté 6 Extension,14.7289992,-17.464973
,14.7185064,-17.4723752
,14.7165165,-17.455819
,14.7153073,-17.4554065
Courtyard,14.7047117,-17.4684348
,14.7217282,-17.4393729
,14.7216881,-17.4565405
,14.7378244,-17.4739141
,14.7243619,-17.472979
,14.7216368,-17.4732959
,14.6794378,-17.4374867
,14.6783951,-17.44381
,14.7128921,-17.4659683
,14.7126248,-17.4617691
,14.6821349,-17.4406975
,14.7339918,-17.4870734
,14.7191695,-17.4839279
,14.6970331,-17.4538711
,14.6791099,-17.4647718
Jardin Faculté des Sciences et Techniques,14.6852087,-17.4648046
,14.7117211,-17.4513787
Jardin Botanique de Hann,14.7262225,-17.434038
,14.6888172,-17.4731365
Pullman Beach Club,14.6667555,-17.4304367
,14.6723652,-17.4315288
